stock_id,date,stock_deal,stock_follow,stock_tweet
SZ000166,2018-07-21,138.0,57288.0,
SZ002673,2018-07-21,137.0,88671.0,
SZ000672,2018-07-21,137.0,,5343.0
SZ002182,2018-07-21,136.0,25911.0,2830.0
SZ002158,2018-07-21,135.0,,4157.0
SH600651,2018-07-21,135.0,,
SZ002307,2018-07-21,135.0,49190.0,5401.0
SH603858,2018-07-21,134.0,,2567.0
SH600567,2018-07-21,134.0,71076.0,13199.0
SH601238,2018-07-21,133.0,36382.0,10490.0
SH600383,2018-07-21,132.0,49842.0,14794.0
SZ002510,2018-07-21,132.0,,3071.0
SH600873,2018-07-21,131.0,38577.0,14836.0
SZ300431,2018-07-21,131.0,195296.0,41258.0
SH600123,2018-07-21,130.0,27778.0,
SH601002,2018-07-21,130.0,54896.0,
SH600875,2018-07-21,130.0,94363.0,12697.0
SH601888,2018-07-21,130.0,56257.0,9006.0
SZ002148,2018-07-21,130.0,,
SH600153,2018-07-21,130.0,144464.0,9448.0
SH600497,2018-07-21,129.0,34340.0,3586.0
SH600581,2018-07-21,129.0,42313.0,10520.0
SH601212,2018-07-21,129.0,,4657.0
SH601233,2018-07-21,129.0,,3999.0
SH600498,2018-07-21,128.0,45008.0,7246.0
SZ000878,2018-07-21,128.0,92376.0,3781.0
SH600125,2018-07-21,128.0,47256.0,6070.0
SH601857,2018-07-21,128.0,167556.0,56415.0
SH600837,2018-07-21,128.0,271352.0,29482.0
SZ000537,2018-07-21,127.0,24663.0,3674.0
SZ000429,2018-07-21,127.0,,2997.0
SZ000876,2018-07-21,126.0,61094.0,17151.0
SZ002457,2018-07-21,126.0,36316.0,5894.0
SZ002714,2018-07-21,126.0,38240.0,5329.0
SZ000100,2018-07-21,125.0,137853.0,33292.0
SZ300055,2018-07-21,125.0,32693.0,
SZ002422,2018-07-21,125.0,114710.0,39002.0
SZ300156,2018-07-21,125.0,37177.0,25235.0
SZ000997,2018-07-21,124.0,181849.0,4677.0
SH600055,2018-07-21,124.0,24850.0,3373.0
SZ300024,2018-07-21,124.0,129456.0,
SZ002807,2018-07-21,124.0,,3604.0
SZ000600,2018-07-21,123.0,,2722.0
SH601003,2018-07-21,123.0,42322.0,5981.0
SH600060,2018-07-21,122.0,44373.0,3232.0
SH603260,2018-07-21,122.0,,5899.0
SZ002146,2018-07-21,122.0,48287.0,4641.0
SZ002108,2018-07-21,121.0,53507.0,12855.0
SZ002916,2018-07-21,121.0,,5023.0
SH601011,2018-07-21,121.0,24219.0,3994.0
SZ300014,2018-07-21,121.0,57361.0,10275.0
SH600025,2018-07-21,121.0,,4672.0
SH601116,2018-07-21,121.0,28823.0,4866.0
SZ000852,2018-07-21,120.0,26210.0,4670.0
SZ300021,2018-07-21,120.0,,
SH601989,2018-07-21,120.0,404996.0,4116.0
SZ300316,2018-07-21,120.0,31330.0,5027.0
SZ300088,2018-07-21,120.0,56429.0,7248.0
SH600536,2018-07-21,120.0,35570.0,8754.0
SZ000540,2018-07-21,119.0,61403.0,
SZ000623,2018-07-21,119.0,263362.0,2428.0
SZ002431,2018-07-21,119.0,53159.0,3384.0
SH601228,2018-07-21,119.0,,3974.0
SH600971,2018-07-21,118.0,,5043.0
SH600569,2018-07-21,118.0,29668.0,9607.0
SZ000418,2018-07-21,117.0,41591.0,7989.0
SH600326,2018-07-21,117.0,27445.0,8470.0
SZ000519,2018-07-21,117.0,37977.0,
SH601800,2018-07-21,117.0,149766.0,17544.0
SH600201,2018-07-21,116.0,,6453.0
SZ002497,2018-07-21,116.0,36805.0,6480.0
SZ300012,2018-07-21,116.0,53641.0,
SH600023,2018-07-21,116.0,46021.0,16274.0
SZ300244,2018-07-21,116.0,67819.0,4546.0
SH601997,2018-07-21,115.0,23628.0,3492.0
SH600206,2018-07-21,115.0,23962.0,
SZ000729,2018-07-21,115.0,33763.0,2996.0
SZ000959,2018-07-21,115.0,77813.0,3693.0
SZ000778,2018-07-21,115.0,121346.0,2900.0
SH600219,2018-07-21,115.0,126859.0,2481.0
SH600388,2018-07-21,115.0,38822.0,
SH600782,2018-07-21,115.0,26501.0,3176.0
SZ002821,2018-07-21,114.0,28768.0,8507.0
SZ002371,2018-07-21,114.0,42753.0,6314.0
SH600160,2018-07-21,114.0,36821.0,6535.0
SZ300369,2018-07-21,114.0,26097.0,3868.0
SH600501,2018-07-21,114.0,,
SZ000877,2018-07-21,114.0,43528.0,12807.0
SZ300699,2018-07-21,113.0,23630.0,6769.0
SH600015,2018-07-21,113.0,152846.0,9273.0
SH601699,2018-07-21,113.0,43441.0,9435.0
SZ002600,2018-07-21,113.0,29616.0,3973.0
SZ000789,2018-07-21,113.0,,6278.0
SH600008,2018-07-21,112.0,62115.0,4865.0
SZ300073,2018-07-21,112.0,41465.0,12025.0
SH600110,2018-07-21,112.0,,3141.0
SZ300484,2018-07-21,111.0,47021.0,2679.0
SH603027,2018-07-21,111.0,,4155.0
SH600172,2018-07-21,111.0,105340.0,13523.0
SZ000999,2018-07-21,111.0,36637.0,6741.0
SZ002770,2018-07-21,111.0,29304.0,
SZ300236,2018-07-21,111.0,52394.0,5182.0
SZ002354,2018-07-21,110.0,,5655.0
SH600221,2018-07-21,110.0,178620.0,
SZ300612,2018-07-21,110.0,,3629.0
SH600486,2018-07-21,110.0,26491.0,10732.0
SH603559,2018-07-21,109.0,,5269.0
SZ000525,2018-07-21,109.0,,
SZ002273,2018-07-21,109.0,92575.0,5883.0
SZ002032,2018-07-21,109.0,65857.0,2848.0
SH603881,2018-07-21,109.0,,7713.0
SZ002677,2018-07-21,109.0,31542.0,6317.0
SZ002635,2018-07-21,109.0,46089.0,19756.0
SH600312,2018-07-21,108.0,81277.0,2690.0
SZ000401,2018-07-21,108.0,42300.0,12613.0
SZ002376,2018-07-21,108.0,40213.0,5053.0
SZ300232,2018-07-21,108.0,23792.0,8959.0
SZ300137,2018-07-21,108.0,28425.0,5945.0
SH601678,2018-07-21,108.0,,
SZ300253,2018-07-21,108.0,50269.0,11416.0
SZ002050,2018-07-21,107.0,32244.0,7076.0
SZ000043,2018-07-21,107.0,45488.0,
SZ002074,2018-07-21,107.0,66172.0,16900.0
SZ002249,2018-07-21,107.0,27547.0,6950.0
SZ002858,2018-07-21,107.0,,
SZ002284,2018-07-21,107.0,35915.0,
SZ300371,2018-07-21,107.0,,
SZ300168,2018-07-21,107.0,47892.0,3045.0
SZ002281,2018-07-21,107.0,33575.0,6547.0
SH600521,2018-07-21,106.0,101345.0,6466.0
SH601727,2018-07-21,106.0,156317.0,2740.0
SZ002246,2018-07-21,106.0,,3316.0
SZ002153,2018-07-21,106.0,102983.0,9646.0
SZ002233,2018-07-21,105.0,,3550.0
SH600138,2018-07-21,105.0,40825.0,10800.0
SZ300304,2018-07-21,105.0,,4007.0
SZ002792,2018-07-21,105.0,,
SZ300083,2018-07-21,105.0,26425.0,6157.0
SH600171,2018-07-21,104.0,32307.0,
SZ000869,2018-07-21,104.0,64447.0,23624.0
SH603648,2018-07-21,103.0,,3844.0
SH600999,2018-07-21,103.0,141529.0,
SZ300223,2018-07-21,103.0,71587.0,15758.0
SZ002739,2018-07-21,103.0,77186.0,25419.0
SZ000507,2018-07-21,103.0,129321.0,11851.0
SZ002410,2018-07-21,103.0,31032.0,9406.0
SZ000898,2018-07-21,102.0,68226.0,2725.0
SZ000987,2018-07-21,102.0,54045.0,
SZ002156,2018-07-21,102.0,33382.0,3833.0
SZ002152,2018-07-21,102.0,25182.0,
SZ002841,2018-07-21,101.0,,2620.0
SH600141,2018-07-21,101.0,,2574.0
SH600594,2018-07-21,101.0,26029.0,
SH600881,2018-07-21,101.0,112908.0,43971.0
SZ000036,2018-07-21,101.0,,
SZ000825,2018-07-21,101.0,76164.0,3667.0
SH600489,2018-07-21,101.0,110292.0,12108.0
SZ000923,2018-07-21,100.0,26273.0,3248.0
SH600018,2018-07-21,100.0,65717.0,11635.0
SZ002507,2018-07-21,100.0,47771.0,12159.0
SH600720,2018-07-21,99.0,25101.0,3837.0
SZ300273,2018-07-21,99.0,79139.0,
SH600216,2018-07-21,99.0,26679.0,6751.0
SH601021,2018-07-21,99.0,23588.0,6812.0
SZ000970,2018-07-21,99.0,64696.0,3320.0
SH600325,2018-07-21,99.0,136810.0,11163.0
SZ002680,2018-07-21,99.0,,7826.0
SH600740,2018-07-21,98.0,28305.0,10072.0
SZ002044,2018-07-21,98.0,39585.0,13661.0
SZ300367,2018-07-21,98.0,29867.0,
SZ002555,2018-07-21,98.0,36913.0,2857.0
SZ002408,2018-07-21,98.0,,4255.0
SZ002847,2018-07-21,98.0,,4380.0
SZ002350,2018-07-21,98.0,,4161.0
SZ300347,2018-07-21,97.0,53973.0,5362.0
SH601216,2018-07-21,97.0,42084.0,2495.0
SZ002737,2018-07-21,97.0,,
SZ300058,2018-07-21,97.0,122490.0,3854.0
SH603986,2018-07-21,96.0,39285.0,10038.0
SH600645,2018-07-21,96.0,132422.0,2384.0
SZ300047,2018-07-21,96.0,105901.0,
SZ002351,2018-07-21,96.0,,
SZ002636,2018-07-21,96.0,,5820.0
SH601069,2018-07-21,95.0,38907.0,5103.0
SH603458,2018-07-21,95.0,,
SZ002500,2018-07-21,95.0,31595.0,
SZ000060,2018-07-21,95.0,69422.0,3297.0
SZ300450,2018-07-21,94.0,43665.0,13763.0
SH600409,2018-07-21,94.0,28580.0,3444.0
SH601599,2018-07-21,94.0,,
SZ300315,2018-07-21,94.0,94928.0,33930.0
SZ002440,2018-07-21,94.0,49579.0,27881.0
SZ002925,2018-07-21,93.0,,6969.0
SZ000066,2018-07-21,93.0,24482.0,2830.0
SZ300113,2018-07-21,93.0,38592.0,2527.0
SZ300133,2018-07-21,93.0,61469.0,3741.0
SZ300344,2018-07-21,93.0,,4277.0
SZ002043,2018-07-21,93.0,66293.0,2799.0
SZ002907,2018-07-21,92.0,,5463.0
SZ000960,2018-07-21,92.0,48892.0,4055.0
SZ000998,2018-07-21,92.0,48643.0,
SH600803,2018-07-21,92.0,,2935.0
SH603969,2018-07-21,92.0,,2971.0
SH600209,2018-07-21,92.0,,6052.0
SZ002078,2018-07-21,92.0,42222.0,3018.0
SH600977,2018-07-21,92.0,,6181.0
SZ002194,2018-07-21,92.0,,4478.0
SZ300601,2018-07-21,92.0,,
SH600373,2018-07-21,92.0,35403.0,3043.0
SZ000955,2018-07-21,92.0,,
SZ002262,2018-07-21,91.0,37261.0,
SH600282,2018-07-21,91.0,30483.0,7807.0
SZ000635,2018-07-21,91.0,,2670.0
SH600418,2018-07-21,91.0,69043.0,13255.0
SH600295,2018-07-21,91.0,,6754.0
SZ002475,2018-07-21,91.0,47627.0,4077.0
SZ300115,2018-07-21,91.0,32524.0,3581.0
SZ300182,2018-07-21,91.0,28385.0,2775.0
SZ002542,2018-07-21,91.0,,2764.0
SH603868,2018-07-21,90.0,,3943.0
SZ300415,2018-07-21,90.0,,3086.0
SH603160,2018-07-21,90.0,27063.0,4274.0
SZ002424,2018-07-21,90.0,43932.0,8438.0
SZ300009,2018-07-21,90.0,39521.0,11354.0
SZ000402,2018-07-21,90.0,121712.0,5021.0
SH600377,2018-07-21,90.0,24529.0,5082.0
SH603966,2018-07-21,89.0,,
SH603306,2018-07-21,89.0,,2813.0
SZ002264,2018-07-21,89.0,26742.0,8135.0
SZ002308,2018-07-21,89.0,24973.0,
SZ002716,2018-07-21,89.0,24635.0,
SZ000681,2018-07-21,89.0,30935.0,3220.0
SZ300098,2018-07-21,89.0,35022.0,2826.0
SH600988,2018-07-21,89.0,30973.0,
SH600800,2018-07-21,89.0,,
SH600801,2018-07-21,89.0,33427.0,7181.0
SH600009,2018-07-21,88.0,73602.0,10633.0
SH600661,2018-07-21,88.0,,
SH600793,2018-07-21,88.0,,
SH600958,2018-07-21,88.0,32629.0,
SZ002517,2018-07-21,88.0,26617.0,
SZ002092,2018-07-21,87.0,29266.0,7989.0
SH600843,2018-07-21,87.0,,
SH600809,2018-07-21,87.0,61201.0,8027.0
SZ002601,2018-07-21,87.0,27511.0,3425.0
SZ300326,2018-07-21,87.0,,
SH600664,2018-07-21,87.0,32226.0,7802.0
SH601618,2018-07-21,87.0,104190.0,
SZ300589,2018-07-21,86.0,,
SZ002222,2018-07-21,86.0,29495.0,3081.0
SZ300274,2018-07-21,86.0,37586.0,13480.0
SZ300222,2018-07-21,86.0,28741.0,3112.0
SZ300207,2018-07-21,86.0,34692.0,
SH600100,2018-07-21,86.0,139140.0,2474.0
SZ002873,2018-07-21,85.0,,
SZ002128,2018-07-21,85.0,,6575.0
SH600698,2018-07-21,85.0,,4417.0
SZ002234,2018-07-21,85.0,24339.0,
SH600166,2018-07-21,85.0,49318.0,2795.0
SH601008,2018-07-21,85.0,63582.0,8950.0
SZ300212,2018-07-21,85.0,26194.0,2660.0
SH600208,2018-07-21,85.0,118345.0,
SZ002020,2018-07-21,85.0,53414.0,6843.0
SZ000800,2018-07-21,85.0,49741.0,4430.0
SH601369,2018-07-21,85.0,51624.0,
SH600022,2018-07-21,85.0,49288.0,
SH600108,2018-07-21,85.0,70151.0,9015.0
SZ000157,2018-07-21,85.0,153056.0,15860.0
SZ300616,2018-07-21,84.0,,3579.0
SZ000823,2018-07-21,84.0,,
SH600549,2018-07-21,84.0,32338.0,3721.0
SZ002675,2018-07-21,84.0,,4103.0
SH603603,2018-07-21,83.0,,3812.0
SH603833,2018-07-21,83.0,,3459.0
SZ002176,2018-07-21,83.0,69037.0,3830.0
SH600694,2018-07-21,83.0,59584.0,
SZ002293,2018-07-21,83.0,52023.0,6305.0
SH601108,2018-07-21,83.0,,3150.0
SH603505,2018-07-21,82.0,,4070.0
SZ002184,2018-07-21,82.0,,4212.0
SH600970,2018-07-21,82.0,39935.0,2419.0
SH600596,2018-07-21,82.0,29100.0,4217.0
SZ002174,2018-07-21,82.0,47454.0,3046.0
SZ300327,2018-07-21,82.0,58956.0,14779.0
